name,latitude,longitude,price_sqm,change_last_q,change_last_y,rental_yield,change_last_y_rental_price,price_hist,district_cor,year_built_imp_med,buildings_cor,floors_cor_imp_med,units_cor_imp_med,shop_1,shop_2,shop_3,shop_4,shop_5,shop_1_dist,shop_2_dist,shop_3_dist,shop_4_dist,shop_5_dist,school_1,school_2,school_3,school_4,school_5,school_1_dist,school_2_dist,school_3_dist,school_4_dist,school_5_dist,res_1,res_2,res_3,res_4,res_5,res_1_dist,res_2_dist,res_3_dist,res_4_dist,res_5_dist,hospital_dist,Elevator,Parking,Security,CCTV,Pool,Sauna,Gym,Garden,Playground,Shop,Restaurant,Wifi,trans_type_1,trans_name_1,trans_dist_1,trans_type_2,trans_name_2,trans_dist_2,trans_type_3,trans_name_3,trans_dist_3,trans_type_4,trans_name_4,trans_dist_4,trans_type_5,trans_name_5,trans_dist_5
DLV Thonglor 20,13.738862,100.5871437,101422,-5.48,19.52,5.38,-11.13,"[{""date"":""2008-04-01"",""value"":88250},{""date"":""2008-07-01"",""value"":79500},{""date"":""2008-10-01"",""value"":78500},{""date"":""2009-01-01"",""value"":76500},{""date"":""2009-04-01"",""value"":75000},{""date"":""2009-07-01"",""value"":74678},{""date"":""2009-10-01"",""value"":74525},{""date"":""2010-01-01"",""value"":74655},{""date"":""2010-04-01"",""value"":75910},{""date"":""2010-07-01"",""value"":74722},{""date"":""2010-10-01"",""value"":71250},{""date"":""2011-01-01"",""value"":68572},{""date"":""2011-04-01"",""value"":71028},{""date"":""2011-07-01"",""value"":81383},{""date"":""2011-10-01"",""value"":80975},{""date"":""2012-01-01"",""value"":80566},{""date"":""2012-04-01"",""value"":79335},{""date"":""2012-07-01"",""value"":78468},{""date"":""2012-10-01"",""value"":77053},{""date"":""2013-01-01"",""value"":75985},{""date"":""2013-04-01"",""value"":79550},{""date"":""2013-07-01"",""value"":90447},{""date"":""2013-10-01"",""value"":94223},{""date"":""2014-01-01"",""value"":91261},{""date"":""2014-04-01"",""value"":85561},{""date"":""2014-07-01"",""value"":81743},{""date"":""2014-10-01"",""value"":82229},{""date"":""2015-01-01"",""value"":87580},{""date"":""2015-04-01"",""value"":89894},{""date"":""2015-07-01"",""value"":90507},{""date"":""2015-10-01"",""value"":95304},{""date"":""2016-01-01"",""value"":91026},{""date"":""2016-04-01"",""value"":80634},{""date"":""2016-07-01"",""value"":86654},{""date"":""2016-10-01"",""value"":83209},{""date"":""2017-01-01"",""value"":86968},{""date"":""2017-04-01"",""value"":82724},{""date"":""2017-07-01"",""value"":84861},{""date"":""2017-10-01"",""value"":89013},{""date"":""2018-01-01"",""value"":101922},{""date"":""2018-04-01"",""value"":107304},{""date"":""2018-07-01"",""value"":101422}]",Khet Watthana,2008,1,8,79,Foodland Supermarket (Phetchaburi) is 880 m away (approximately 5 minutes by car),H 1 – 890 m (5 minutes by car),Penny's Balcony – 1.2 km (6 minutes by car),The Duchess Plaza Center – 1.3 km (10 minutes by car),Villa Market (Thong Lo 15) – 1.3 km (6 minutes by car),880,890,1200,1300,1300,"Phisit Medical Traditional School, located within 650 m away (approximately 8 minutes by foot)",Vijit Witthaya School – 1 km (8 minutes by car),Chiwasom Beauty And Health Vocational School (Modern Town ... – 1.2 km (17 minutes by car),Bangkok Adventist International School – 1.4 km (10 minutes by car),Singapore International School Of Bangkok – 1.4 km (10 minutes by car),650,1000,1200,1400,1400,Cafe' De Bangkok Restaurant – 270 m (3 minutes by foot),King Kong Yakiniku Buffet (Ekamai) – 270 m (3 minutes by foot),Larb Ped Por.4 – 320 m (4 minutes by foot),Cheesecake House & Restaurant – 340 m (4 minutes by foot),Koi Restaurant – 410 m (5 minutes by foot),270,270,320,340,410,1100,1,1,1,1,1,0,1,0,0,0,0,0,expressway,Ramkhamhaeng Toll Plaza,2400,bts,Ekkamai,2400,expressway,Rama 9-1 Toll Plaza Chalong Rat,2400,expressway,Rama 9-1 Toll Plaza Si Rat,2400,bts,Thong Lo,2600
Dazzle Sukhumvit 7,13.7434618,100.5553021,181908,-1.91,6.13,4.95,-4.09,"[{""date"":""2017-07-01"",""value"":171404},{""date"":""2017-10-01"",""value"":178636},{""date"":""2018-01-01"",""value"":185867},{""date"":""2018-04-01"",""value"":185446},{""date"":""2018-07-01"",""value"":181908}]",Khet Watthana,2014,1,8,79,City Plaza Nana is 260 m away (approximately 3 minutes by foot),The Landmark Plaza – 430 m (6 minutes by foot),Foodland Supermarket (Sukhumvit) – 460 m (6 minutes by foot),Nana Square – 560 m (7 minutes by foot),Villa Market (Ambassador) – 590 m (7 minutes by foot),260,430,460,560,590,"Thai Massage Art School, located within 1 km away (approximately 12 minutes by car)",Topsy Turvy International School – 1.1 km (14 minutes by car),Health Land Thai Massage School – 1.2 km (5 minutes by car),R.C. International School – 1.4 km (14 minutes by car),Watdishongsarama School – 1.4 km (14 minutes by car),1000,1100,1200,1400,1400,Ban Ya Restaurant – 61 m (1 minute by foot),Youchun Korean Restaurant – 220 m (3 minutes by foot),Benjamas Restaurant – 220 m (3 minutes by foot),Californian Cafe – 290 m (3 minutes by foot),Gulliver Restaurant – 450 m (5 minutes by foot),61,220,220,290,450,790,1,1,1,1,1,0,1,1,1,0,0,1,bts,Nana,390,expressway,Sukhumvit Toll Plaza,870,bts,Phloen Chit,960,mrt,Sukhumvit,1400,expressway,Phetchaburi Toll Plaza,1600
Diamond Sukhumvit,13.7083215,100.5996477,107966,-4.65,-0.02,5.3,-7.74,"[{""date"":""2008-10-01"",""value"":81697},{""date"":""2009-01-01"",""value"":82489},{""date"":""2009-04-01"",""value"":83282},{""date"":""2009-07-01"",""value"":84098},{""date"":""2009-10-01"",""value"":84963},{""date"":""2010-01-01"",""value"":85828},{""date"":""2010-04-01"",""value"":86692},{""date"":""2010-07-01"",""value"":87557},{""date"":""2010-10-01"",""value"":88422},{""date"":""2011-01-01"",""value"":86018},{""date"":""2011-04-01"",""value"":83326},{""date"":""2011-07-01"",""value"":78878},{""date"":""2011-10-01"",""value"":72306},{""date"":""2012-01-01"",""value"":71604},{""date"":""2012-04-01"",""value"":69178},{""date"":""2012-07-01"",""value"":69069},{""date"":""2012-10-01"",""value"":74777},{""date"":""2013-01-01"",""value"":82559},{""date"":""2013-04-01"",""value"":87294},{""date"":""2013-07-01"",""value"":89849},{""date"":""2013-10-01"",""value"":93156},{""date"":""2014-01-01"",""value"":97967},{""date"":""2014-04-01"",""value"":96938},{""date"":""2014-07-01"",""value"":94322},{""date"":""2014-10-01"",""value"":92711},{""date"":""2015-01-01"",""value"":103911},{""date"":""2015-04-01"",""value"":102143},{""date"":""2015-07-01"",""value"":104900},{""date"":""2015-10-01"",""value"":106037},{""date"":""2016-01-01"",""value"":104599},{""date"":""2016-04-01"",""value"":104505},{""date"":""2016-07-01"",""value"":105847},{""date"":""2016-10-01"",""value"":105819},{""date"":""2017-01-01"",""value"":104821},{""date"":""2017-04-01"",""value"":113567},{""date"":""2017-07-01"",""value"":107984},{""date"":""2017-10-01"",""value"":109710},{""date"":""2018-01-01"",""value"":115960},{""date"":""2018-04-01"",""value"":113236},{""date"":""2018-07-01"",""value"":107966}]",Khet Khlong Toei,2011,1,31,485,Market Plus Shopping Center is 720 m away (approximately 9 minutes by foot),Phra Khanong Plaza Show Room – 980 m (12 minutes by car),Jusco Department Store (Sukhumvit 71) – 1.6 km (12 minutes by car),MaxValu – 2.1 km (5 minutes by car),Maxvalu Department Store (Ekkamai) – 2.6 km (7 minutes by car),720,980,1600,2100,2600,"Sanghirun School, located within 310 m away (approximately 4 minutes by foot)",Athiphon Kindergarten – 570 m (7 minutes by foot),Saint Michael's International Kindergarten – 620 m (8 minutes by foot),Wells International School Onnut Branch – 830 m (3 minutes by car),Panaya Kindergarten – 1.1 km (5 minutes by car),310,570,620,830,1100,36 Barbeque – 110 m (1 minute by foot),36 Kratha Thong Barbeque – 110 m (1 minute by foot),Best Beef Restaurant – 130 m (2 minutes by foot),Humble’s – 160 m (2 minutes by foot),Fusion At Fifty Restaurant – 240 m (3 minutes by foot),110,110,130,160,240,1700,1,1,1,1,1,0,1,1,1,1,0,1,bts,On Nut,300,bts,Phra Khanong,1200,expressway,At Narong 2 Toll Plaza,1200,bts,Bang Chak,1400,expressway,At Narong 1 Toll Plaza,1400
Downtown Forty Nine,13.740072,100.578014,145333,-12.09,-6.07,5.87,-3.4,"[{""date"":""2015-01-01"",""value"":140794},{""date"":""2015-04-01"",""value"":141057},{""date"":""2015-07-01"",""value"":141373},{""date"":""2015-10-01"",""value"":141688},{""date"":""2016-01-01"",""value"":142004},{""date"":""2016-04-01"",""value"":165373},{""date"":""2016-07-01"",""value"":190909},{""date"":""2016-10-01"",""value"":185298},{""date"":""2017-01-01"",""value"":188676},{""date"":""2017-04-01"",""value"":165522},{""date"":""2017-07-01"",""value"":154725},{""date"":""2017-10-01"",""value"":173368},{""date"":""2018-01-01"",""value"":144018},{""date"":""2018-04-01"",""value"":165311},{""date"":""2018-07-01"",""value"":145333}]",Khet Khlong Toei,2013,2,8,135,UFM Fuji Super Express is 730 m away (approximately 9 minutes by foot),J Avenue – 1.5 km (6 minutes by car),Villa Market (Thong Lo 15) – 1.5 km (6 minutes by car),Ufm Fuji Super – 1.9 km (11 minutes by car),Emporium Shopping Mall – 1.9 km (9 minutes by car),730,1500,1500,1900,1900,"Lady Bird International Kindergarten, located within 680 m away (approximately 8 minutes by foot)",Surao Ban Don School – 800 m (10 minutes by foot),New Bambino International Kindergarten School – 840 m (3 minutes by car),The American School Of Bangkok – 860 m (3 minutes by car),The Early Learning Center International School – 990 m (4 minutes by car),680,800,840,860,990,Spring & Summer – 580 m (7 minutes by foot),Wine garden – 610 m (7 minutes by foot),Portabello Day Cafe – 610 m (7 minutes by foot),Klang Soi Restaurant – 630 m (8 minutes by foot),Doriwon Korean Restaurant – 650 m (8 minutes by foot),580,610,610,630,650,770,1,1,1,1,1,0,1,1,0,0,0,0,bts,Phrom Phong,1900,bts,Thong Lo,2200,mrt,Sukhumvit,3000,expressway,Asok 4 Toll Plaza,4100,expressway,Asok 1 Toll Plaza,4100
Edge Sukhumvit 23,13.736655,100.562968,230296,1.17,2.94,5.05,-1.82,"[{""date"":""2013-01-01"",""value"":183939},{""date"":""2013-04-01"",""value"":184796},{""date"":""2013-07-01"",""value"":184638},{""date"":""2013-10-01"",""value"":184481},{""date"":""2014-01-01"",""value"":184324},{""date"":""2014-04-01"",""value"":186583},{""date"":""2014-07-01"",""value"":189212},{""date"":""2014-10-01"",""value"":194782},{""date"":""2015-01-01"",""value"":191700},{""date"":""2015-04-01"",""value"":198737},{""date"":""2015-07-01"",""value"":208647},{""date"":""2015-10-01"",""value"":201545},{""date"":""2016-01-01"",""value"":201157},{""date"":""2016-04-01"",""value"":195819},{""date"":""2016-07-01"",""value"":204162},{""date"":""2016-10-01"",""value"":201015},{""date"":""2017-01-01"",""value"":202241},{""date"":""2017-04-01"",""value"":215241},{""date"":""2017-07-01"",""value"":223710},{""date"":""2017-10-01"",""value"":228239},{""date"":""2018-01-01"",""value"":225578},{""date"":""2018-04-01"",""value"":227632},{""date"":""2018-07-01"",""value"":230296}]",Khet Watthana,2013,1,35,443,Metro Mall is 280 m away (approximately 5 minutes by foot),Sunken Plaza – 280 m (4 minutes by foot),Terminal 21 – 360 m (5 minutes by foot),Tops Market (Robinson Sukhumvit 19) – 600 m (8 minutes by foot),MaxValu Tanjai – 700 m (9 minutes by foot),280,280,360,600,700,"Taekwando, located within 560 m away (approximately 7 minutes by foot)",Health Land Thai Massage School – 660 m (8 minutes by foot),ST. Stephen's International School – 850 m (6 minutes by car),"Sinakharinwirot University, Prasanmit Campus – 1 km (4 minutes by car)",Aksara International School – 1 km (5 minutes by car),560,660,850,1000,1000,I Ya A-Roi Restaurant – 28 m (less than a minute by foot),At Corner – 40 m (less than a minute by foot),Bradman's Sports Bistro – 41 m (1 minute by foot),Bradman’s Bistro – 45 m (1 minute by foot),Chok Ruam Chai Restaurant – 58 m (1 minute by foot),28,40,41,45,58,690,1,1,1,1,1,0,1,1,0,0,0,1,bts,Asok,420,mrt,Sukhumvit,430,bts,Nana,1000,expressway,Sukhumvit Toll Plaza,1700,expressway,Asok 4 Toll Plaza,2200
Eight Thonglor Residence,13.7308632,100.5815792,223426,8.12,2.47,4.5,-1.64,"[{""date"":""2008-07-01"",""value"":120240},{""date"":""2008-10-01"",""value"":120961},{""date"":""2009-01-01"",""value"":121682},{""date"":""2009-04-01"",""value"":119989},{""date"":""2009-07-01"",""value"":122799},{""date"":""2009-10-01"",""value"":124485},{""date"":""2010-01-01"",""value"":127320},{""date"":""2010-04-01"",""value"":135789},{""date"":""2010-07-01"",""value"":133208},{""date"":""2010-10-01"",""value"":132166},{""date"":""2011-01-01"",""value"":144015},{""date"":""2011-04-01"",""value"":150852},{""date"":""2011-07-01"",""value"":150852},{""date"":""2011-10-01"",""value"":152171},{""date"":""2012-01-01"",""value"":149813},{""date"":""2012-04-01"",""value"":148534},{""date"":""2012-07-01"",""value"":146788},{""date"":""2012-10-01"",""value"":144818},{""date"":""2013-01-01"",""value"":144558},{""date"":""2013-04-01"",""value"":144335},{""date"":""2013-07-01"",""value"":147950},{""date"":""2013-10-01"",""value"":156850},{""date"":""2014-01-01"",""value"":158253},{""date"":""2014-04-01"",""value"":159727},{""date"":""2014-07-01"",""value"":165170},{""date"":""2014-10-01"",""value"":166217},{""date"":""2015-01-01"",""value"":157120},{""date"":""2015-04-01"",""value"":174418},{""date"":""2015-07-01"",""value"":167246},{""date"":""2015-10-01"",""value"":165123},{""date"":""2016-01-01"",""value"":178735},{""date"":""2016-04-01"",""value"":172740},{""date"":""2016-07-01"",""value"":192299},{""date"":""2016-10-01"",""value"":186151},{""date"":""2017-01-01"",""value"":203862},{""date"":""2017-04-01"",""value"":255230},{""date"":""2017-07-01"",""value"":218035},{""date"":""2017-10-01"",""value"":207279},{""date"":""2018-01-01"",""value"":227255},{""date"":""2018-04-01"",""value"":206654},{""date"":""2018-07-01"",""value"":223426}]",Khet Watthana,2009,1,34,196,Foodland Supermarket (8 Thonglor Fl.LG) is 13 m away (approximately less than a minute by foot),Foodland Supermarket (8 Thonglor Fl.LG) – 13 m (less than a minute by foot),Foodland Supermarket (8 Thonglor Fl.LG) – 13 m (less than a minute by foot),The Third Place Bangkok – 210 m (3 minutes by foot),The Third Place Bangkok – 210 m (3 minutes by foot),13,13,13,210,210,"Nopphan Kindergarten, located within 180 m away (approximately 2 minutes by foot)",Nopphan Kindergarten – 180 m (2 minutes by foot),Nopphan Kindergarten – 180 m (2 minutes by foot),The Little House International Kindergarten – 370 m (5 minutes by foot),The Little House International Kindergarten – 370 m (5 minutes by foot),180,180,180,370,370,Masala Art – 7 m (less than a minute by foot),Masala Art – 7 m (less than a minute by foot),Masala Art – 7 m (less than a minute by foot),Tadaima (8 Thonglor Fl.LG) – 9 m (less than a minute by foot),Tadaima (8 Thonglor Fl.LG) – 9 m (less than a minute by foot),7,7,7,9,9,880,1,1,1,1,1,1,1,1,0,0,0,0,bts,Thong Lo,980,bts,Thong Lo,980,bts,Thong Lo,980,bts,Ekkamai,1700,bts,Ekkamai,1700
Empire House,13.7299007,100.5911222,63231,1.4,7.31,4.97,0.38,"[{""date"":""2011-04-01"",""value"":57009},{""date"":""2011-07-01"",""value"":58801},{""date"":""2011-10-01"",""value"":60952},{""date"":""2012-01-01"",""value"":63104},{""date"":""2012-04-01"",""value"":65255},{""date"":""2012-07-01"",""value"":67406},{""date"":""2012-10-01"",""value"":69557},{""date"":""2013-01-01"",""value"":71708},{""date"":""2013-04-01"",""value"":73860},{""date"":""2013-07-01"",""value"":76011},{""date"":""2013-10-01"",""value"":78162},{""date"":""2014-01-01"",""value"":61441},{""date"":""2014-04-01"",""value"":56899},{""date"":""2014-07-01"",""value"":56408},{""date"":""2014-10-01"",""value"":55044},{""date"":""2015-01-01"",""value"":58608},{""date"":""2015-04-01"",""value"":59246},{""date"":""2015-07-01"",""value"":65422},{""date"":""2015-10-01"",""value"":74367},{""date"":""2016-01-01"",""value"":72240},{""date"":""2016-04-01"",""value"":71778},{""date"":""2016-07-01"",""value"":57703},{""date"":""2016-10-01"",""value"":62082},{""date"":""2017-01-01"",""value"":59050},{""date"":""2017-04-01"",""value"":55836},{""date"":""2017-07-01"",""value"":58921},{""date"":""2017-10-01"",""value"":62236},{""date"":""2018-01-01"",""value"":60898},{""date"":""2018-04-01"",""value"":62358},{""date"":""2018-07-01"",""value"":63231}]",Khet Watthana,1994,1,28,220,Ekkamai Shopping Mall is 840 m away (approximately 3 minutes by car),Ekkamai Power Center – 960 m (4 minutes by car),Foodland Supermarket (8 Thonglor Fl.LG) – 1.2 km (5 minutes by car),Park Lane – 1.4 km (5 minutes by car),Tops Market – 1.5 km (7 minutes by car),840,960,1200,1400,1500,"Singapore International School Of Bangkok, located within 320 m away (approximately 4 minutes by foot)",Ekkamai International School – 380 m (5 minutes by foot),Adventist Ekamai School – 410 m (5 minutes by foot),Chiwasom Beauty And Health Vocational School (Modern Town ... – 700 m (9 minutes by foot),Kasem Phitthaya School – 770 m (9 minutes by foot),320,380,410,700,770,Bistroteq – 97 m (1 minute by foot),Chi Na Buro Restaurant – 110 m (1 minute by foot),Vanilla Garden – 180 m (2 minutes by foot),Amour Farang Cuisine Restaurant – 480 m (6 minutes by foot),Cafe And Etcetera By Kloset Restaurant – 600 m (7 minutes by foot),97,110,180,480,600,1700,1,1,1,1,1,1,1,1,1,0,0,0,bts,Ekkamai,1900,expressway,Phatthanakan 1 Toll Plaza,2000,bts,Thong Lo,2200,bts,Phra Khanong,2400,expressway,Phatthanakan 2 Toll Plaza,2500
European Central Place,13.739623,100.55852,105404,4.48,9.86,4.55,-9.71,"[{""date"":""2014-04-01"",""value"":93911},{""date"":""2014-07-01"",""value"":106509},{""date"":""2014-10-01"",""value"":121628},{""date"":""2015-01-01"",""value"":121402},{""date"":""2015-04-01"",""value"":113504},{""date"":""2015-07-01"",""value"":105607},{""date"":""2015-10-01"",""value"":97709},{""date"":""2016-01-01"",""value"":89812},{""date"":""2016-04-01"",""value"":85885},{""date"":""2016-07-01"",""value"":83943},{""date"":""2016-10-01"",""value"":82001},{""date"":""2017-01-01"",""value"":80059},{""date"":""2017-04-01"",""value"":87398},{""date"":""2017-07-01"",""value"":95940},{""date"":""2017-10-01"",""value"":102764},{""date"":""2018-01-01"",""value"":109587},{""date"":""2018-04-01"",""value"":100884},{""date"":""2018-07-01"",""value"":105404}]",Khet Khlong Toei,2007,1,8,78,Robinson Department Store (Sukhumvit) is 270 m away (approximately 3 minutes by foot),Tops Market (Robinson Sukhumvit 19) – 280 m (4 minutes by foot),Times Square Shopping Center – 290 m (4 minutes by foot),Sukhumvit Plaza – 300 m (4 minutes by foot),Villa Market (Ambassador) – 510 m (6 minutes by foot),270,280,290,300,510,"Health Land Thai Massage School, located within 370 m away (approximately 5 minutes by foot)",ST. Stephen's International School – 620 m (8 minutes by foot),Taekwando – 800 m (10 minutes by foot),Wattana Wittaya Academy – 800 m (10 minutes by foot),NIST International School – 830 m (10 minutes by foot),370,620,800,800,830,The Eatery Restaurant – 16 m (less than a minute by foot),The Pizza Company (Sukhumvit 12) – 210 m (3 minutes by foot),French To Go Restaurant – 260 m (3 minutes by foot),Alisha Restaurant – 270 m (3 minutes by foot),Arirang – 270 m (4 minutes by foot),16,210,260,270,270,640,1,1,1,1,1,0,1,0,0,0,0,1,bts,Asok,430,bts,Nana,460,mrt,Sukhumvit,750,expressway,Sukhumvit Toll Plaza,1100,expressway,Phetchaburi Toll Plaza,2100
Fifty Fifth Tower,13.7260643,100.5799351,96765,14.59,17.05,3.99,6.27,"[{""date"":""2011-01-01"",""value"":53363},{""date"":""2011-04-01"",""value"":55470},{""date"":""2011-07-01"",""value"":58225},{""date"":""2011-10-01"",""value"":58875},{""date"":""2012-01-01"",""value"":59264},{""date"":""2012-04-01"",""value"":61212},{""date"":""2012-07-01"",""value"":61874},{""date"":""2012-10-01"",""value"":59178},{""date"":""2013-01-01"",""value"":58067},{""date"":""2013-04-01"",""value"":60263},{""date"":""2013-07-01"",""value"":59744},{""date"":""2013-10-01"",""value"":62345},{""date"":""2014-01-01"",""value"":61767},{""date"":""2014-04-01"",""value"":61419},{""date"":""2014-07-01"",""value"":61070},{""date"":""2014-10-01"",""value"":60722},{""date"":""2015-01-01"",""value"":62863},{""date"":""2015-04-01"",""value"":61433},{""date"":""2015-07-01"",""value"":63524},{""date"":""2015-10-01"",""value"":65095},{""date"":""2016-01-01"",""value"":61938},{""date"":""2016-04-01"",""value"":68340},{""date"":""2016-07-01"",""value"":69105},{""date"":""2016-10-01"",""value"":75714},{""date"":""2017-01-01"",""value"":88849},{""date"":""2017-04-01"",""value"":86193},{""date"":""2017-07-01"",""value"":82668},{""date"":""2017-10-01"",""value"":87932},{""date"":""2018-01-01"",""value"":85443},{""date"":""2018-04-01"",""value"":84443},{""date"":""2018-07-01"",""value"":96765}]",Khet Watthana,1996,1,35,103,Fifty-Fifth Plaza Shopping Center is 750 m away (approximately 9 minutes by foot),Maxvalu Department Store (Ekkamai) – 900 m (4 minutes by car),Park Lane – 1.2 km (5 minutes by car),MaxValu Tanjai – 1.3 km (7 minutes by car),Tops Market – 1.6 km (8 minutes by car),750,900,1200,1300,1600,"Bangkok Prep International School, located within 740 m away (approximately 9 minutes by foot)",Charoen Wut Witthaya School – 790 m (10 minutes by foot),Wisan Wit School – 850 m (5 minutes by car),Melodies Internation Kindergarten – 910 m (5 minutes by car),Well International School – 950 m (6 minutes by car),740,790,850,910,950,Nikuya – 16 m (less than a minute by foot),Smile Restaurant – 32 m (less than a minute by foot),Soul Food Mahanakorn – 140 m (2 minutes by foot),Chok Hongkong – 460 m (6 minutes by foot),Dawon Korean Restaurant – 520 m (7 minutes by foot),16,32,140,460,520,1700,1,1,1,1,1,1,1,1,0,0,0,0,bts,Thong Lo,510,bts,Ekkamai,990,bts,Phrom Phong,1700,expressway,At Narong Toll Plaza,2600,expressway,Phra Khanong Toll Plaza,3400
First Tower,13.747816,100.552639,71883,8.66,16.82,8.76,39.26,"[{""date"":""2008-07-01"",""value"":60556},{""date"":""2008-10-01"",""value"":60404},{""date"":""2009-01-01"",""value"":60253},{""date"":""2009-04-01"",""value"":60101},{""date"":""2009-07-01"",""value"":59968},{""date"":""2009-10-01"",""value"":59873},{""date"":""2010-01-01"",""value"":59778},{""date"":""2010-04-01"",""value"":59683},{""date"":""2010-07-01"",""value"":59587},{""date"":""2010-10-01"",""value"":61434},{""date"":""2011-01-01"",""value"":67165},{""date"":""2011-04-01"",""value"":72896},{""date"":""2011-07-01"",""value"":78628},{""date"":""2011-10-01"",""value"":84359},{""date"":""2012-01-01"",""value"":90090},{""date"":""2012-04-01"",""value"":83484},{""date"":""2012-07-01"",""value"":86679},{""date"":""2012-10-01"",""value"":78698},{""date"":""2013-01-01"",""value"":70716},{""date"":""2013-04-01"",""value"":66445},{""date"":""2013-07-01"",""value"":64028},{""date"":""2013-10-01"",""value"":61611},{""date"":""2014-01-01"",""value"":59494},{""date"":""2014-04-01"",""value"":60238},{""date"":""2014-07-01"",""value"":61678},{""date"":""2014-10-01"",""value"":72955},{""date"":""2015-01-01"",""value"":77778},{""date"":""2015-04-01"",""value"":78536},{""date"":""2015-07-01"",""value"":72608},{""date"":""2015-10-01"",""value"":68846},{""date"":""2016-01-01"",""value"":69406},{""date"":""2016-04-01"",""value"":65452},{""date"":""2016-07-01"",""value"":61266},{""date"":""2016-10-01"",""value"":65990},{""date"":""2017-01-01"",""value"":76052},{""date"":""2017-04-01"",""value"":77078},{""date"":""2017-07-01"",""value"":61531},{""date"":""2017-10-01"",""value"":67085},{""date"":""2018-01-01"",""value"":58979},{""date"":""2018-04-01"",""value"":66153},{""date"":""2018-07-01"",""value"":71883}]",Khet Khlong Toei,2003,1,22,208,The Plaza is 220 m away (approximately 3 minutes by foot),City Plaza Nana – 490 m (6 minutes by foot),Nana Square – 800 m (10 minutes by foot),Villa Market (Phloen Chit Center) – 930 m (7 minutes by car),Foodland Supermarket (Sukhumvit) – 990 m (7 minutes by car),220,490,800,930,990,"Watdishongsarama School, located within 1.1 km away (approximately 16 minutes by car)",R.C. International School – 1.3 km (9 minutes by car),Mulberry House International School – 1.4 km (9 minutes by car),NIST International School – 1.4 km (7 minutes by car),Thai Massage Art School – 1.4 km (10 minutes by car),1100,1300,1400,1400,1400,Chicken Treat (Bamrungrad Hospital) – 220 m (3 minutes by foot),McDonald's (Bamrungrad Hospital) – 220 m (3 minutes by foot),Bangla House – 230 m (3 minutes by foot),Arayan Restaurant – 390 m (5 minutes by foot),Al-Yame Al-Saeed Restaurant – 470 m (6 minutes by foot),220,220,230,390,470,230,1,1,1,1,1,0,1,1,0,0,0,0,expressway,Sukhumvit Toll Plaza,760,bts,Phloen Chit,850,bts,Nana,1100,expressway,Phetchaburi Toll Plaza,1300,mrt,Phetchaburi,1800
